xyzid,SMILES,solvent,exp. abs. energy[eV],b3lyp cal. abs. energy[eV],b3lyp delta[eV],wb97 cal. abs. energy[eV],wb97 delta[eV],wb97x cal. abs. energy[eV],wb97x delta[eV],wpbeh cal. abs. energy[eV],wpbeh delta,pbe0 cal. abs. energy[eV],pbe0 delta[eV],camb3lyp cal. abs. energy[eV],camb3lyp delta[eV]
661, Cc1cnc(s1)N=Nc1ccc(c2c1cccn2)O,dimethyl sulfoxide,2.768,2.919,0.151,2.965,0.197,3.196,0.428,3.277,0.509,3.009,0.241,3.27,0.502
662, Cc1ccc2c(c1N)c(C)ccn2,dimethyl sulfoxide,3.493,5.318,1.825,5.158,1.665,5.521,2.028,5.672,2.179,5.449,1.956,5.707,2.214
663, Cc1ccc(cc1)N=Nc1sc(nc1c1ccc(cc1)NC(=O)c1ccccc1)N,dimethyl sulfoxide,2.588,2.754,0.166,2.874,0.286,3.09,0.502,3.162,0.574,2.826,0.238,3.138,0.55
664, Cc1ccc(cc1)N=Nc1ccc(c2c1cccn2)O,dimethyl sulfoxide,3.123,3.133,0.01,3.242,0.119,3.512,0.389,3.572,0.449,3.226,0.103,3.538,0.415
665, Cc1cc2sc(nc2cc1C)N=Nc1ccc(c2c1cccn2)O,dimethyl sulfoxide,2.175,2.735,0.56,2.864,0.689,3.091,0.916,3.186,1.011,2.838,0.663,3.169,0.994
666, Cc1[nH]c2c(c1N=Nc1nncs1)cccc2,dimethyl sulfoxide,2.644,3.138,0.494,3.258,0.614,3.43,0.786,3.501,0.857,3.252,0.608,3.477,0.833
667, Cc1[nH]c2c(c1N=Nc1n[nH]c(n1)S)cccc2,dimethyl sulfoxide,3.195,3.428,0.233,3.471,0.276,3.705,0.51,3.815,0.62,3.55,0.355,3.808,0.613
668, C[C@@H](C(=O)O)N,dimethyl sulfoxide,1.715,8.816,7.101,8.049,6.334,8.823,7.108,8.92,7.205,9.677,7.962,8.863,7.148
669, CSc1nnc(s1)N=Nc1c2ccccc2n(c1C)C,dimethyl sulfoxide,2.695,3.019,0.324,3.141,0.446,3.293,0.598,3.387,0.692,3.1,0.405,3.365,0.67
670, CSc1nnc(s1)N=Nc1c(c2ccccc2)n(c2c1cccc2)C,dimethyl sulfoxide,2.661,2.955,0.294,3.063,0.402,3.269,0.608,3.37,0.709,3.047,0.386,3.328,0.667
671, CSc1nnc(s1)N=Nc1c([nH]c2c1cccc2)c1ccccc1,dimethyl sulfoxide,2.436,2.887,0.451,3.07,0.634,3.239,0.803,3.303,0.867,2.982,0.546,3.272,0.836
672, CSc1nnc(s1)N=Nc1c(C)[nH]c2c1cccc2,dimethyl sulfoxide,2.684,2.994,0.31,3.086,0.402,3.286,0.602,3.449,0.765,3.093,0.409,3.399,0.715
673, CSc1c[nH]n(s1)N=Nc1ccc(c2c1cccn2)O,dimethyl sulfoxide,2.214,3.739,1.525,3.559,1.345,3.896,1.682,3.788,1.574,3.872,1.658,3.824,1.61
674, COc1ccc2c(c1)sc(n2)N=Nc1ccc(c2c1cccn2)O,dimethyl sulfoxide,2.45,2.597,0.147,2.85,0.4,3.094,0.644,3.137,0.687,2.712,0.262,3.108,0.658
675, COc1ccc2c(c1)c1sccc1[nH]2,dimethyl sulfoxide,4.959,5.965,1.006,5.411,0.452,5.808,0.849,5.976,1.017,6.158,1.199,5.976,1.017
676, COc1ccc(cc1C=NCCN(C)C)C=Cc1ccncc1,dimethyl sulfoxide,3.862,3.727,-0.135,3.932,0.07,4.232,0.37,4.22,0.358,3.836,-0.026,4.201,0.339
677, COc1ccc(cc1)n1c(nc(c1c1cccs1)c1cccs1)c1ccc2c(c1)c1ccccc1n2CC,dimethyl sulfoxide,4.052,4.004,-0.048,4.208,0.156,4.521,0.469,4.653,0.601,4.112,0.06,4.629,0.577
678, COc1ccc(cc1)n1c(nc(c1c1ccccc1)c1ccccc1)c1ccc2c(c1)c1cc(ccc1n2CC)c1ccc2c(c1)c1cc(ccc1n2CC)c1nc(c(n1c1ccc(cc1)OC)c1ccccc1)c1ccccc1,dimethyl sulfoxide,3.961,3.776,-0.185,4.04,0.079,4.329,0.368,4.509,0.548,3.872,-0.089,4.449,0.488
679, COc1ccc(cc1)n1c(N=Nc2ccc3c(c2)scn3)ccc1c1cccs1,dimethyl sulfoxide,2.616,2.793,0.177,2.981,0.365,3.178,0.562,3.265,0.649,2.898,0.282,3.209,0.593
680, CCOC(=O)c1c(O)c(N=Nc2ccc(cc2)C#N)c2c(c1O)cccc2,dimethyl sulfoxide,2.684,2.969,0.285,3.071,0.387,3.302,0.618,3.476,0.792,3.103,0.419,3.423,0.739
681, CCOC(=O)c1c(N)sc(c1c1ccccc1)N=Nc1ccc(cc1)OC,dimethyl sulfoxide,2.644,2.91,0.266,2.874,0.23,3.114,0.47,3.222,0.578,2.982,0.338,3.222,0.578
682, C1(C)c2cc3nc([nH]c3cc2c2c1cccc2)c1ccc(cc1)F,dimethyl sulfoxide,3.502,3.718,0.216,3.945,0.443,4.19,0.688,4.269,0.767,3.854,0.352,4.226,0.724
683, C1(C)c2cc3nc([nH]c3cc2c2c1cccc2)c1ccc(cc1)Cl,dimethyl sulfoxide,3.444,3.613,0.169,3.892,0.448,4.135,0.691,4.211,0.767,3.753,0.309,4.153,0.709
684, C1(C)c2cc3nc([nH]c3cc2c2c1cccc2)c1ccc(cc1)C(F)(F)F,dimethyl sulfoxide,3.454,3.518,0.064,3.842,0.388,4.08,0.626,4.189,0.735,3.677,0.223,4.123,0.669
685, C1(C)c2cc3nc([nH]c3cc2c2c1cccc2)c1ccc(cc1)C,dimethyl sulfoxide,3.473,3.699,0.226,3.926,0.453,4.169,0.696,4.25,0.777,3.832,0.359,4.197,0.724
686, C1(C)c2cc3nc([nH]c3cc2c2c1cccc2)c1c(F)cccc1F,dimethyl sulfoxide,3.636,3.628,-0.008,3.87,0.234,4.115,0.479,4.311,0.675,3.787,0.151,4.176,0.54
687, C1(C)c2cc(ccc2c2c1cc1nc3c4ccccc4c4c(c3nc1c2)cccc4)c1ccccc1,dimethyl sulfoxide,3.077,3.908,0.831,4.208,1.131,4.497,1.42,4.629,1.552,4.076,0.999,4.581,1.504
688, C1(C)c2cc(ccc2c2c1cc1nc3c4cccc5c4c4c(c3nc1c2)cccc4cc5)c1ccccc1,dimethyl sulfoxide,2.897,2.769,-0.128,4.317,1.42,4.437,1.54,4.557,1.66,2.9,0.003,3.403,0.506
689, C1(C)c2cc(ccc2c2c1cc1nc3c4cccc5c4c4c(c3nc1c2)cccc4cc5)c1cccc2c1cccc2,dimethyl sulfoxide,2.917,3.872,0.955,4.124,1.207,4.401,1.484,4.545,1.628,2.89,-0.027,4.485,1.568
690, C1(C)c2cc(ccc2c2c1cc1nc3c4cccc5c4c4c(c3nc1c2)cccc4cc5)c1c2ccccc2cc2c1cccc2,dimethyl sulfoxide,2.917,2.814,-0.103,3.142,0.225,3.379,0.462,3.468,0.551,2.958,0.041,3.433,0.516
691, C1(C)c2cc(ccc2c2c1cc1nc3c(nc1c2)c1ccccc1c1c3cccc1)c1ccc2c3c1ccc1c3c(cc2)ccc1,dimethyl sulfoxide,3.017,3.15,0.133,3.259,0.242,3.48,0.463,3.583,0.566,3.571,0.554,3.52,0.503
692, C1(C)c2cc(ccc2c2c1cc1nc3c(nc1c2)c1ccccc1c1c3cccc1)c1ccc(cc1)N(c1ccccc1)c1ccccc1,dimethyl sulfoxide,2.831,3.102,0.271,3.21,0.379,3.451,0.62,3.547,0.716,3.451,0.62,3.454,0.623
693, C1(C)c2cc(ccc2c2c1cc1nc3c(nc1c2)c1cccc2c1c1c3cccc1cc2)c1ccc2c3c1ccc1c3c(cc2)ccc1,dimethyl sulfoxide,2.89,3.403,0.513,3.12,0.23,3.347,0.457,3.446,0.556,3.559,0.669,3.388,0.498
694, C1(C)c2cc(ccc2c2c1cc1nc3c(nc1c2)c1cccc2c1c1c3cccc1cc2)c1ccc(cc1)N(c1ccccc1)c1ccccc1,dimethyl sulfoxide,2.672,3.487,0.815,3.093,0.421,3.33,0.658,3.423,0.751,3.655,0.983,3.35,0.678
695, C1(C)c2cc3nc([nH]c3cc2c2c1cccc2)c1ccc(cc1)[N+](=O)[O-],dimethyl sulfoxide,3.1,3.932,0.832,3.559,0.459,3.767,0.667,3.831,0.731,2.859,-0.241,3.641,0.541
696, C1(C)c2cc(ccc2c2c1cc1nc(c3ccccc3)c(nc1c2)c1ccccc1)c1cccc2c1cccc2,dimethyl sulfoxide,3.171,3.117,-0.054,3.511,0.34,3.764,0.593,3.872,0.701,3.264,0.093,3.824,0.653
697, C1(C)c2cc(ccc2c2c1cc1nc(c3ccccc3)c(nc1c2)c1ccccc1)c1c2ccccc2cc2c1cccc2,dimethyl sulfoxide,3.163,3.271,0.108,3.403,0.24,3.619,0.456,3.739,0.576,3.403,0.24,3.715,0.552
698, C1(C)c2cc(ccc2c2c1cc(cc2)C=C(c1scc2c1OCCO2)C#N)C=C(c1scc2c1OCCO2)C#N,dimethyl sulfoxide,3.647,2.779,-0.868,3.679,0.032,3.563,-0.084,3.537,-0.11,2.884,-0.763,3.494,-0.153
699, C1(C)c2cc(ccc2c2c1cc(cc2)C=C(c1cccs1)C#N)C=C(c1cccs1)C#N,dimethyl sulfoxide,4.261,2.826,-1.435,3.243,-1.018,3.514,-0.747,3.588,-0.673,2.962,-1.299,3.54,-0.721
700, C1(C)c2cc(C#Cc3ccccc3)ccc2c2c1cc1nc3c(nc1c2)c1ccccc1c1c3cccc1,dimethyl sulfoxide,3.046,3.655,0.609,3.234,0.188,3.46,0.414,3.547,0.501,3.812,0.766,3.489,0.443
701, C1(C)c2cc(C#Cc3ccccc3)ccc2c2c1cc1nc3c(nc1c2)c1cccc2c1c1c3cccc1cc2,dimethyl sulfoxide,2.883,2.694,-0.189,3.092,0.209,3.324,0.441,3.417,0.534,2.828,-0.055,3.357,0.474
702, Brc1nnc(s1)N=Nc1ccc(s1)c1cccs1,dimethyl sulfoxide,2.431,2.625,0.194,2.799,0.368,2.934,0.503,3.065,0.634,2.705,0.274,2.97,0.539
703, Brc1ccc(cc1)c1nn(c2c1c1c(cn2)c(=O)[nH]n1c1ccccc1)c1ccccc1,dimethyl sulfoxide,3.351,3.73,0.379,3.888,0.537,4.87,1.519,5.423,2.072,3.871,0.52,5.399,2.048
704, Brc1ccc(cc1)c1nn(c2c1c1[nH][nH]c(=O)c1cn2)c1ccccc1,dimethyl sulfoxide,3.225,3.952,0.727,4.954,1.729,5.351,2.126,5.519,2.294,4.116,0.891,5.483,2.258
705, Brc1ccc(cc1)c1csc(n1)N=Nc1ccc(c2c1cccn2)O,dimethyl sulfoxide,2.175,2.754,0.579,2.909,0.734,3.142,0.967,3.231,1.056,2.872,0.697,3.219,1.044
706, Brc1ccc(cc1)N=Nc1sc(nc1c1ccc(cc1)NC(=O)c1ccccc1)N,dimethyl sulfoxide,2.546,2.741,0.195,2.862,0.316,3.042,0.496,3.138,0.592,2.826,0.28,3.114,0.568
707, BPPB,dimethyl sulfoxide,2.455,5.182,2.727,5.05,2.595,4.485,2.03,4.629,2.174,5.303,2.848,4.617,2.162
708, Cn1c(c2ccccc2)c(c2c1cccc2)N=Nc1nncs1,dimethyl sulfoxide,2.743,3.126,0.383,3.183,0.44,3.37,0.627,3.473,0.73,3.225,0.482,3.439,0.696
709, C1(C)c2cc(ccc2c2c1cc1nc(c3ccccc3)c(nc1c2)c1ccccc1)c1ccc2c3c1ccc1c3c(cc2)ccc1,dimethyl sulfoxide,3.131,3.355,0.224,3.439,0.308,3.679,0.548,3.788,0.657,3.028,-0.103,3.721,0.59
710, C1(C)c2cc3nc([nH]c3cc2c2c1cccc2)c1ccccc1,dimethyl sulfoxide,3.483,3.706,0.223,3.941,0.458,4.185,0.702,4.27,0.787,3.842,0.359,4.217,0.734
711, C1(C)c2cc3nc(c4ccccc4)c(nc3cc2c2c1cccc2)c1ccccc1,dimethyl sulfoxide,3.22,3.367,0.147,4.774,1.554,3.836,0.616,3.944,0.724,4.665,1.445,3.92,0.7
712, C1(C)c2cc3nc4c5ccccc5c5c(c4nc3cc2c2c1cc(cc2)c1c2ccccc2cc2c1cccc2)cccc5,dimethyl sulfoxide,3.115,3.09,-0.025,3.307,0.192,3.535,0.42,3.619,0.504,3.234,0.119,3.602,0.487
713, CCOC(=O)c1c(N)sc(c1c1ccccc1)N=Nc1ccc(cc1)C#N,dimethyl sulfoxide,2.475,2.862,0.387,2.838,0.363,3.042,0.567,3.138,0.663,2.934,0.459,3.126,0.651
714, CCOC(=O)c1c(N)sc(c1c1ccccc1)N=Nc1ccc(cc1)C,dimethyl sulfoxide,2.644,2.982,0.338,2.946,0.302,3.174,0.53,3.265,0.621,3.054,0.41,3.262,0.618
715, CCOC(=O)Cc1csc(n1)N=Nc1ccc(c2c1cccn2)O,dimethyl sulfoxide,2.194,2.946,0.752,3.057,0.863,3.254,1.06,3.297,1.103,3.035,0.841,3.294,1.1
716, CCOC(=O)C1=C(NC(=O)C1=Cc1ccccc1)c1ccccc1,dimethyl sulfoxide,3.009,3.092,0.083,3.118,0.109,3.38,0.371,3.473,0.464,3.148,0.139,3.495,0.486
717, CCOC(=O)C1=C(NC(=O)C1=Cc1ccccc1)c1ccc(cc1)c1ccccc1,dimethyl sulfoxide,2.973,2.97,-0.003,4.076,1.103,4.485,1.512,3.434,0.461,3.062,0.089,3.45,0.477
718, CCOC(=O)C1=C(NC(=O)C1=Cc1cccc2c1cccc2)c1ccccc1,dimethyl sulfoxide,2.959,2.822,-0.137,3.004,0.045,3.263,0.304,3.358,0.399,2.915,-0.044,3.345,0.386
719, CCOC(=O)C1=C(NC(=O)C1=Cc1cccc2c1cccc2)c1ccc(cc1)c1ccccc1,dimethyl sulfoxide,2.904,2.799,-0.105,3.048,0.144,3.267,0.363,3.367,0.463,2.893,-0.011,3.338,0.434
720, CCOC(=O)C1=C(NC(=O)C1=Cc1ccc(cc1)N(C)C)c1ccccc1,dimethyl sulfoxide,2.632,2.838,0.206,2.893,0.261,3.106,0.474,3.202,0.57,2.905,0.273,3.204,0.572
721, CCOC(=O)C1=C(NC(=O)C1=Cc1ccc(cc1)N(C)C)c1ccc(cc1)c1ccccc1,dimethyl sulfoxide,2.594,2.733,0.139,2.876,0.282,3.09,0.496,3.157,0.563,2.805,0.211,3.15,0.556
722, CCOC(=O)C1=C(NC(=O)C1=CC1=CCC(=C=O)C=C1)c1ccccc1,dimethyl sulfoxide,2.863,3.172,0.309,4.521,1.658,4.351,1.488,4.456,1.593,3.26,0.397,3.684,0.821
723, CCOC(=O)C1=C(NC(=O)C1=CC1=CCC(=C=O)C=C1)c1ccc(cc1)c1ccccc1,dimethyl sulfoxide,2.811,3.032,0.221,3.992,1.181,4.341,1.53,4.437,1.626,3.152,0.341,4.449,1.638
724, CCOC(=O)C(=CNc1cccc(c1)F)C#N,dimethyl sulfoxide,3.862,4.156,0.294,4.116,0.254,4.357,0.495,4.511,0.649,4.271,0.409,4.515,0.653
725, CCN(c1ccc(cc1)N=Nc1scc(n1)c1cc2ccccc2oc1=O)CC,dimethyl sulfoxide,2.441,2.669,0.228,2.796,0.355,3.011,0.57,3.098,0.657,2.778,0.337,3.089,0.648
726, CCN(c1ccc(c(c1)O)c1[nH]c2c(n1)ccc(c2)n1nc2c(n1)c1ccccc1cc2)CC,dimethyl sulfoxide,3.22,2.894,-0.326,3.454,0.234,3.713,0.493,3.817,0.597,3.092,-0.128,3.74,0.52
727, CCN(c1ccc(c(c1)O)c1[nH]c2c(n1)ccc(c2)n1nc2c(n1)c1cc(ccc1cc2)S(=O)(=O)O)CC,dimethyl sulfoxide,3.271,3.583,0.312,3.447,0.176,3.687,0.416,3.813,0.542,2.903,-0.368,3.685,0.414
728, CCN(c1ccc(c(c1)O)c1[nH]c2c(n1)ccc(c2)n1nc2c(n1)c1c(cc2)cccc1S(=O)(=O)O)CC,dimethyl sulfoxide,2.465,3.679,1.214,3.418,0.953,3.683,1.218,3.754,1.289,3.788,1.323,3.656,1.191
729, CCCn1c(N=Nc2sc3c(n2)ccc(c3)C)ccc1c1cccs1,dimethyl sulfoxide,2.384,2.633,0.249,2.869,0.485,2.994,0.61,3.084,0.7,2.729,0.345,3.034,0.65
730, CCCn1c(N=Nc2nc3c(s2)cccc3)ccc1c1cccs1,dimethyl sulfoxide,2.389,2.681,0.292,2.855,0.466,3.023,0.634,3.104,0.715,2.778,0.389,3.058,0.669
731, CCCn1c(N=Nc2ccc3c(c2)scn3)ccc1c1cccs1,dimethyl sulfoxide,2.672,2.826,0.154,3.042,0.37,3.233,0.561,3.303,0.631,2.934,0.262,3.245,0.573
732, CCCOC(CC(=C=O)C=Cc1ccc(c(c1)OC)OCCC)C=Cc1ccc(c(c1)OC)OCCC,dimethyl sulfoxide,2.45,4.918,2.468,4.834,2.384,4.35,1.9,4.544,2.094,4.225,1.775,4.539,2.089
733, CC(=O)c1ccc(cc1)N=Nc1ccc(c2c1cccn2)O,dimethyl sulfoxide,2.973,2.977,0.004,3.156,0.183,3.345,0.372,3.472,0.499,3.089,0.116,3.44,0.467
734, CC(=O)O,dimethyl sulfoxide,4.644,10.664,6.02,10.148,5.504,10.931,6.287,10.395,5.751,11.031,6.387,11.513,6.869
735, CC(=O)Nc1ccc(cc1)N=Nc1ccc(c2c1cccn2)O,dimethyl sulfoxide,2.973,2.97,-0.003,3.066,0.093,3.319,0.346,3.417,0.444,3.069,0.096,3.411,0.438
736, C=Cc1ccncc1,dimethyl sulfoxide,3.815,5.321,1.506,5.273,1.458,5.519,1.704,5.631,1.816,5.427,1.612,7.133,3.318
737, C1Oc2c(O1)cc1c(c2)[nH]c2c1scc2,dimethyl sulfoxide,4.769,6.028,1.259,6.2,1.431,6.681,1.912,6.874,2.105,4.237,-0.532,6.855,2.086
738, C1NNC=C1,dimethyl sulfoxide,3.522,5.857,2.335,5.545,2.023,6.017,2.495,6.14,2.618,9.018,5.496,6.277,2.755
739, C1CCC2C(C1)C1=Nc3[n-]c(c4c3cccc4)Nc3[nH]c(Nc4[n-]c(N=C2N1)c1CCCCc41)c1c3cccc1.[Mg+2],dimethyl sulfoxide,1.81,2.814,1.004,3.222,1.412,3.451,1.641,3.86,2.05,2.898,1.088,2.739,0.929
740, C1(C)c2cc3nc4c5ccccc5c5c(c4nc3cc2c2c1cccc2)cccc5,dimethyl sulfoxide,3.187,4.124,0.937,4.353,1.166,4.641,1.454,4.762,1.575,4.269,1.082,4.725,1.538
741, C1(C)c2cc3nc4c5ccccc5c5c(c4nc3cc2c2c1cc(cc2)c1cccc2c1cccc2)cccc5,dimethyl sulfoxide,3.092,3.824,0.732,3.295,0.203,3.523,0.431,3.619,0.527,3.983,0.891,3.571,0.479
742, CCOC(=O)c1c(N)sc(c1c1ccccc1)N=Nc1ccccc1,dimethyl sulfoxide,2.649,3.016,0.367,2.97,0.321,3.188,0.539,3.287,0.638,3.083,0.434,3.29,0.641
743, Cn1c(nc2c1cccc2)c1cnc(cn1)c1nc2c(n1C)cccc2,dimethyl sulfoxide,3.123,3.264,0.141,3.619,0.496,3.884,0.761,3.992,0.869,3.417,0.294,3.918,0.795
744, Fc1ccc(cc1)c1nnc(s1)N=Nc1ccc(s1)c1cccs1,dimethyl sulfoxide,2.407,2.445,0.038,2.669,0.262,2.874,0.467,2.934,0.527,2.537,0.13,2.874,0.467
745, Fc1ccc(cc1)n1c(N=Nc2ccc3c(c2)scn3)ccc1c1cccs1,dimethyl sulfoxide,2.649,2.766,0.117,2.984,0.335,3.176,0.527,3.238,0.589,2.866,0.217,3.189,0.54
746, Sc1[nH]nc(n1)N=Nc1c(C)n(c2c1cccc2)C,dimethyl sulfoxide,3.084,3.556,0.472,3.531,0.447,3.775,0.691,3.881,0.797,3.669,0.585,3.884,0.8
747, S=C(Nc1ccc(cc1)C(F)(F)F)NCc1c2ccccc2cc2c1cccc2,dimethyl sulfoxide,2.883,4.593,1.71,5.066,2.183,5.363,2.48,5.507,2.624,4.786,1.903,5.507,2.624
748, Oc1ccccc1c1[nH]c2c(n1)c1ccc3c(c1cc2)cccc3,dimethyl sulfoxide,3.369,3.616,0.247,4.99,1.621,5.315,1.946,5.471,2.102,3.745,0.376,5.423,2.054
749, Oc1ccc(c2c1nccc2)N=Nn1scc[nH]1,dimethyl sulfoxide,2.267,3.679,1.412,3.861,1.594,5.567,3.3,5.747,3.48,3.872,1.605,5.784,3.517
750, Oc1ccc(c2c1nccc2)N=Nc1scc(n1)c1ccccc1,dimethyl sulfoxide,2.175,2.727,0.552,2.905,0.73,3.139,0.964,3.222,1.047,2.853,0.678,3.209,1.034
751, Oc1ccc(c2c1nccc2)N=Nc1nccs1,dimethyl sulfoxide,2.799,2.974,0.175,2.995,0.196,3.225,0.426,3.323,0.524,3.064,0.265,3.316,0.517
752, Sc1[nH]nc(n1)N=Nc1c([nH]c2c1cccc2)c1ccccc1,dimethyl sulfoxide,3.017,3.271,0.254,3.342,0.325,3.586,0.569,3.7,0.683,3.391,0.374,3.675,0.658
753, Oc1ccc(c2c1nccc2)N=Nc1nc2c(s1)cccc2,dimethyl sulfoxide,2.535,2.823,0.288,2.917,0.382,3.182,0.647,3.23,0.695,2.922,0.387,3.212,0.677
754, Oc1ccc(c2c1nccc2)N=Nc1cccnc1,dimethyl sulfoxide,2.305,3.153,0.848,3.23,0.925,3.48,1.175,3.551,1.246,3.25,0.945,3.545,1.24
755, Oc1ccc(c2c1nccc2)N=Nc1ccccc1,dimethyl sulfoxide,3.131,3.174,0.043,3.251,0.12,3.505,0.374,3.581,0.45,3.272,0.141,3.574,0.443
756, Oc1ccc(c2c1nccc2)N=Nc1ccc(cc1)Oc1ccccc1,dimethyl sulfoxide,3.046,3.02,-0.026,3.138,0.092,3.397,0.351,3.495,0.449,3.124,0.078,3.468,0.422
757, OS(=O)(=O)c1cccc2c1ccc1c2nn(n1)c1ccc(cc1)c1nc(c([nH]1)c1ccccc1)c1ccccc1,dimethyl sulfoxide,3.454,2.866,-0.588,3.637,0.183,3.867,0.413,3.896,0.442,3.069,-0.385,3.789,0.335
758, OS(=O)(=O)c1ccc2c(c1)ccc1c2nn(n1)c1ccc(cc1)c1nc(c([nH]1)c1ccccc1)c1ccccc1,dimethyl sulfoxide,3.416,2.839,-0.577,3.543,0.127,3.793,0.377,3.889,0.473,3.043,-0.373,3.771,0.355
759, OCCSc1c(F)c(F)c(c(c1F)F)C1=C2C=CC(=N2)C(=c2ccc(=C(C3=NC(=C(c4[nH]c1cc4)c1c(F)c(F)c(c(c1F)F)F)C=C3)c1c(F)c(F)c(c(c1F)F)SCCO)[nH]2)c1c(F)c(F)c(c(c1F)F)F,dimethyl sulfoxide,2.998,3.307,0.309,3.451,0.453,3.655,0.657,3.715,0.717,3.439,0.441,3.703,0.705
760, OCCSc1c(F)c(F)c(c(c1F)F)C1=C2C=CC(=N2)C(=c2ccc(=C(C3=NC(=C(c4[nH]c1cc4)c1c(F)c(F)c(c(c1F)F)F)C=C3)c1c(F)c(F)c(c(c1F)F)F)[nH]2)c1c(F)c(F)c(c(c1F)F)SCCO,dimethyl sulfoxide,3.002,3.463,0.461,3.391,0.389,3.643,0.641,3.727,0.725,3.379,0.377,3.727,0.725
761, Oc1ccc(c2c1nccc2)N=Nc1nc2c([nH]1)cccc2,dimethyl sulfoxide,2.222,2.85,0.628,2.975,0.753,3.21,0.988,3.283,1.061,2.951,0.729,3.266,1.044
762, OCC(C(=O)O)N,dimethyl sulfoxide,4.492,8.547,4.055,6.406,1.914,8.696,4.204,8.942,4.45,8.84,4.348,8.98,4.488
763, Sc1[nH]nc(n1)N=Nc1c(c2ccccc2)n(c2c1cccc2)C,dimethyl sulfoxide,3.147,3.379,0.232,3.398,0.251,3.637,0.49,3.751,0.604,3.482,0.335,3.744,0.597
764, [Cd][I]I,dimethyl sulfoxide,3.069,3.593,0.524,3.009,-0.06,2.939,-0.13,2.946,-0.123,3.474,0.405,3.071,0.002
765, c1ccc(cc1)N=Nc1c([nH]c2c1cccc2)c1ccccc1,dimethyl sulfoxide,3.1,3.187,0.087,3.283,0.183,3.513,0.413,3.617,0.517,3.292,0.192,3.583,0.483
766, c1ccc(cc1)c1[nH]c2c(c1N=Nc1nncs1)cccc2,dimethyl sulfoxide,2.5,4.365,1.865,4.569,2.069,4.894,2.394,5.014,2.514,4.533,2.033,4.978,2.478
767, c1ccc(cc1)c1nc2c(nc1c1ccccc1)c(ccc2c1c2ccccc2cc2c1cccc2)c1c2ccccc2cc2c1cccc2,dimethyl sulfoxide,3.542,3.343,-0.199,3.475,-0.067,3.667,0.125,3.776,0.234,3.439,-0.103,3.752,0.21
768, c1ccc(cc1)c1nc2c(nc1c1ccccc1)c(ccc2c1ccc2c3c1ccc1c3c(cc2)ccc1)c1ccc2c3c1ccc1c3c(cc2)ccc1,dimethyl sulfoxide,4.412,3.631,-0.781,3.824,-0.588,4.076,-0.336,3.8,-0.612,3.607,-0.805,4.148,-0.264
769, c1ccc(cc1)c1nnc(s1)N=Nc1ccc(s1)c1cccs1,dimethyl sulfoxide,2.407,2.477,0.07,2.725,0.318,2.922,0.515,3.034,0.627,2.585,0.178,2.91,0.503
770, c1ccc2c(c1)sc(n2)N=Nc1ccc(n1c1cccc2c1cccc2)c1cccs1,dimethyl sulfoxide,2.348,2.633,0.285,2.79,0.442,2.994,0.646,3.017,0.669,2.717,0.369,2.965,0.617
771, c1ccc[nH]1.Cc1cccc(c1)N,dimethyl sulfoxide,1.442,6.902,5.46,6.477,5.035,6.859,5.417,7.107,5.665,6.974,5.532,7.102,5.66
772, [CH-]1C=CC=C1.COc1ccc(cc1)Cc1nnc2n1nc(s2)C1=C[CH-]C=C1.[Fe+2],dimethyl sulfoxide,4.366,1.383,-2.983,1.515,-2.851,1.395,-2.971,1.395,-2.971,1.335,-3.031,1.335,-3.031
773, n1ccc(nc1)c1ccc(s1)c1ccc(cc1)c1ccc(cc1)n1c2ccccc2c2c1cccc2,dimethyl sulfoxide,3.369,3.443,0.074,3.625,0.256,3.845,0.476,3.932,0.563,3.216,-0.153,3.838,0.469
774, n1csc(n1)N=Nc1ccc(s1)c1cccs1,dimethyl sulfoxide,2.51,2.678,0.168,2.913,0.403,3.032,0.522,3.124,0.614,2.766,0.256,3.025,0.515
775, [O-][N+](=O)c1ccc(cc1)S(=O)(=O)c1cnc(s1)N=Nc1ccc(c2c1cccn2)O,dimethyl sulfoxide,2.091,2.963,0.872,2.89,0.799,3.103,1.012,3.171,1.08,2.841,0.75,3.157,1.066
776, [O-][N+](=O)c1ccc(cc1)N=Nc1ccc(c2c1cccn2)O,dimethyl sulfoxide,2.786,2.716,-0.07,3.085,0.299,3.269,0.483,3.374,0.588,2.877,0.091,3.304,0.518
777, [O-]C(=O)c1ccccc1c1c2cc3CCCN4c3c(c2[o+]c2c1cc1CCCN3c1c2CCC3)CCC4,dimethyl sulfoxide,2.116,2.754,0.638,2.741,0.625,2.913,0.797,3.002,0.886,2.815,0.699,2.982,0.866
778, [O-][N+](=O)c1ccc(cc1)c1nnc(s1)N=Nc1ccc(s1)c1cccs1,dimethyl sulfoxide,2.194,2.345,0.151,2.688,0.494,2.886,0.692,2.96,0.766,2.477,0.283,2.859,0.665
779, OC(=O)c1ccc(cc1)N=Nc1ccc(c2c1cccn2)O,dimethyl sulfoxide,3.002,3.013,0.011,3.128,0.126,3.401,0.399,3.507,0.505,3.111,0.109,3.441,0.439
780, n1ccc(nc1)c1ccc(s1)c1ccc(cc1)n1c2ccccc2c2c1cccc2,dimethyl sulfoxide,3.378,3.713,0.335,3.599,0.221,3.842,0.464,3.972,0.594,3.9,0.522,3.864,0.486
